0,1,2,3,4,5,6,7,8
n,Absolute Difference j = 1,Absolute Difference j = 2,Absolute Difference j = 3,Absolute Difference j = 4,Absolute Difference j = 5,Absolute Difference j = 6,Absolute Difference j = 7,MAD_n
5,0.015302113779225662,0.015018890295093484,0.016917006728558504,0.00545454545454549,0.024901175089623306,0.02229161756782083,0.006516068038956102,0.024901175089623306
10,0.0189384774155893,0.011382526658729852,0.004189734001285805,0.0018181818181818299,0.00782609763764941,0.018655253931457172,0.008029386506498426,0.0189384774155893
15,0.017120295597407492,0.022291617567820776,0.021264811453259647,0.0,0.0012648114532597399,0.02592798120418449,0.009847568324680256,0.02592798120418449
30,0.04075665923377112,0.05683707211327531,0.013992084180532383,0.009090909090909038,0.023082993271441588,0.02410979938600266,0.020756659233771124,0.05683707211327531
